Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Topic)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Duration Seconds)	CF (Start Time)	Event Type
11	All Data	29ee07b3d2a6e9421550a0a9544bbd2d	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:01:01	America/New_York	12	ATTEMPT				Primitive_Data_Types	jusingFloat	1	2015-09-13 02:00:49	jusingFloat	1	1	INCORRECT								AddExpression		FloatDataType		SimpleAssignmentExpression																																																																																																Single-KC		KC25			CS401Fall20151	23.56	1442109685	
12	All Data	2a4e932d546dd92dfd4ca63528e940a7	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:01:41	America/New_York	40	ATTEMPT				Constants	jConstants2	1	2015-09-13 02:01:01	jConstants2	1	1	CORRECT								Constant		ConstantInitializationStatement		DoubleDataType		IntDataType		MultiplyExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																						Single-KC		KC16			CS401Fall20151	31.79	1442109733	
13	All Data	5098437530ba796212b16f8ef33a22bc	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:02:19	America/New_York	38	ATTEMPT				Arithmetic_Operations	jCompoundAssignment_mult	1	2015-09-13 02:01:41	jCompoundAssignment_mult	1	1	CORRECT								IntDataType		MultiplyAssignmentExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC27			CS401Fall20151	90.76	1442109830	
14	All Data	b6e06b7f1746305f35cbcd6aa7274b7f	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:03:55	America/New_York	96	ATTEMPT				Arithmetic_Operations	jVariable1	1	2015-09-13 02:02:19	jVariable1	1	1	CORRECT								AddAssignmentExpression		ExpressionStatement		IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																										Single-KC		KC21			CS401Fall20151	7.5	1442109842	
15	All Data	d20c52ff59d3624466ec5a7434acc5a1	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:04:07	America/New_York	12	ATTEMPT				Arithmetic_Operations	jOperator1	1	2015-09-13 02:03:55	jOperator1	1	1	CORRECT								IntDataType		ModulusExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																												Single-KC		KC41			CS401Fall20151	16.31	1442109863	
16	All Data	2884d032c3e47f4b921517cad12c2f9b	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:04:28	America/New_York	21	ATTEMPT				Arithmetic_Operations	jIncrement	1	2015-09-13 02:04:07	jIncrement	1	1	CORRECT								IntDataType		PreIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																												Single-KC		KC57			CS401Fall20151	14.39	1442109882	
17	All Data	6cd6e7a8217e0f8e07f48512bc03135e	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:04:47	America/New_York	19	ATTEMPT				Arithmetic_Operations	jPostIncrement	1	2015-09-13 02:04:28	jPostIncrement	1	1	CORRECT								IntDataType		PostIncrementExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC17			CS401Fall20151	10.39	1442109897	
18	All Data	2bb96aaf2759e4a5c32b00673ee80cd8	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:05:03	America/New_York	16	ATTEMPT				Arithmetic_Operations	jPostDecrement	1	2015-09-13 02:04:47	jPostDecrement	1	1	CORRECT								IntDataType		PostDecrementExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC71			CS401Fall20151	9.98	1442109913	
19	All Data	92f1c9005cd56f282ed46f5f2ef2f041	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:05:18	America/New_York	15	ATTEMPT				Arithmetic_Operations	jPreDecrement	1	2015-09-13 02:05:03	jPreDecrement	1	1	CORRECT								IntDataType		PreDecrementExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC33			CS401Fall20151	14.37	1442109932	
20	All Data	ca5c727e6c349b55f32180f49f655f11	Stu_0d275b4b42017d2239920670669bab7a	2	2015-09-13 02:05:58	America/New_York	40	ATTEMPT				ArrayList	jArrayList1	1	2015-09-13 02:05:18	jArrayList1	1	1	CORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		SubtractExpression		VariableInitializationStatement		VoidDataType																																																						Single-KC		KC75			CS401Fall20151	72.93	1442110031	
21	All Data	ab6643faab81e8f82739010de0f4f107	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:34:53	America/New_York	0	ATTEMPT				Variables	jSimpleVariableTest	1	2015-12-09 21:34:53	jSimpleVariableTest	1	1	CORRECT								IntDataType		MultiplyExpression		SimpleAssignmentExpression		SimpleVariable																																																																																														Single-KC		KC93			CS401Fall20152	13.6	1449696907	
22	All Data	76eeb345ffd67880f7d6491fbd643e30	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:35:16	America/New_York	23	ATTEMPT				Variables	jVariable1_rev	1	2015-12-09 21:34:53	jVariable1_rev	1	1	CORRECT								AddExpression		IntDataType		SimpleAssignmentExpression																																																																																																Single-KC		KC11			CS401Fall20152	9.99	1449696926	
23	All Data	780cc7110b31fd22f2ab9c7f6b7f4200	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:35:32	America/New_York	16	ATTEMPT				Variables	jVariables2	1	2015-12-09 21:35:16	jVariables2	1	1	CORRECT								AddExpression		IntDataType		MultiplyExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																										Single-KC		KC38			CS401Fall20152	9.21	1449696941	
24	All Data	e9b86a9b2d3b41fd971cbcfaebfd2532	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:35:49	America/New_York	17	ATTEMPT				Variables	jVariables3	1	2015-12-09 21:35:32	jVariables3	1	1	CORRECT								IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement		java.lang.System.out.print																																																																																												Single-KC		KC24			CS401Fall20152	23.3	1449696972	
25	All Data	92dbae33ff452ef3b90ca1b7d0cd92d2	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:36:20	America/New_York	31	ATTEMPT				Variables	jVariable4_rev	1	2015-12-09 21:35:49	jVariable4_rev	1	0	INCORRECT								IntDataType		MultiplyExpression		SimpleAssignmentExpression		java.lang.System.out.print																																																																																														Single-KC		KC50			CS401Fall20152	21.13	1449697001	
26	All Data	51b6a40892fe134e782e44e04a22085f	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:36:44	America/New_York	24	ATTEMPT				Variables	jVariable4_rev	1	2015-12-09 21:35:49	jVariable4_rev	2	1	CORRECT								IntDataType		MultiplyExpression		SimpleAssignmentExpression		java.lang.System.out.print																																																																																														Single-KC		KC50			CS401Fall20152	9.13	1449697013	
27	All Data	de470a2ccf53cb687de1c1d18c523d18	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:36:58	America/New_York	14	ATTEMPT				Variables	jprintlnTest	1	2015-12-09 21:36:44	jprintlnTest	1	1	CORRECT								IntDataType		SimpleAssignmentExpression																																																																																																		Single-KC		KC14			CS401Fall20152	6.83	1449697025	
28	All Data	8ed543af407c3b8c148b78498ea47866	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:37:11	America/New_York	13	ATTEMPT				Variables	jVariables5	1	2015-12-09 21:36:58	jVariables5	1	1	CORRECT								SimpleAssignmentExpression		StringDataType		StringInitializationStatement		StringLiteral		StringVariable		java.lang.System.out.print																																																																																										Single-KC		KC98			CS401Fall20152	8.83	1449697040	
29	All Data	06aceaf28788072b037fe47873ab83b1	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:43:54	America/New_York	403	ATTEMPT				Primitive_Data_Types	jUsingDouble	1	2015-12-09 21:37:11	jUsingDouble	1	0	INCORRECT								AddExpression		DoubleDataType		IntDataType		SimpleAssignmentExpression																																																																																														Single-KC		KC54			CS401Fall20152	14.94	1449697449	
30	All Data	4e8b222463d2de87bcd51ab9b0bd7c3a	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:44:12	America/New_York	18	ATTEMPT				Primitive_Data_Types	jUsingDouble	1	2015-12-09 21:37:11	jUsingDouble	2	1	CORRECT								AddExpression		DoubleDataType		IntDataType		SimpleAssignmentExpression																																																																																														Single-KC		KC54			CS401Fall20152	6.19	1449697458	
31	All Data	cacd8931db359dea17a4169c7e7245d6	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:44:24	America/New_York	12	ATTEMPT				Primitive_Data_Types	jusingFloat	1	2015-12-09 21:44:12	jusingFloat	1	0	INCORRECT								AddExpression		FloatDataType		SimpleAssignmentExpression																																																																																																Single-KC		KC25			CS401Fall20152	13.13	1449697477	
32	All Data	8e9ee8132c5122c940bcec57670ceb3b	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:44:39	America/New_York	15	ATTEMPT				Primitive_Data_Types	jusingFloat	1	2015-12-09 21:44:12	jusingFloat	2	1	CORRECT								AddExpression		FloatDataType		SimpleAssignmentExpression																																																																																																Single-KC		KC25			CS401Fall20152	6.16	1449697485	
33	All Data	bc8ad648d4bac1b078975b8b369fec18	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:47:39	America/New_York	180	ATTEMPT				Constants	jConstants2	1	2015-12-09 21:44:39	jConstants2	1	1	CORRECT								Constant		ConstantInitializationStatement		DoubleDataType		IntDataType		MultiplyExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																						Single-KC		KC16			CS401Fall20152	25.3	1449697684	
34	All Data	801b5a3889cbdd139a2cc79085c8aa64	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:53:21	America/New_York	342	ATTEMPT				Arithmetic_Operations	jCompoundAssignment_mult	1	2015-12-09 21:47:39	jCompoundAssignment_mult	1	1	CORRECT								IntDataType		MultiplyAssignmentExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC27			CS401Fall20152	25.47	1449698026	
35	All Data	ecbb5cbdf16d75275866764652375cbc	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:55:11	America/New_York	110	ATTEMPT				Arithmetic_Operations	jVariable1	1	2015-12-09 21:53:21	jVariable1	1	1	CORRECT								AddAssignmentExpression		ExpressionStatement		IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																										Single-KC		KC21			CS401Fall20152	6.13	1449698117	
36	All Data	61cea6284b3a3057172ed0153447a60d	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:56:18	America/New_York	67	ATTEMPT				Arithmetic_Operations	jOperator1	1	2015-12-09 21:55:11	jOperator1	1	1	CORRECT								IntDataType		ModulusExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																												Single-KC		KC41			CS401Fall20152	80.19	1449698258	
37	All Data	80de814db40eff2c122550acd6a017f9	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:57:47	America/New_York	89	ATTEMPT				Arithmetic_Operations	jIncrement	1	2015-12-09 21:56:18	jIncrement	1	1	CORRECT								IntDataType		PreIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																												Single-KC		KC57			CS401Fall20152	11.72	1449698279	
38	All Data	d8315bc0bc9f97b31c1a828888a0d500	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:58:05	America/New_York	18	ATTEMPT				Arithmetic_Operations	jPostIncrement	1	2015-12-09 21:57:47	jPostIncrement	1	0	INCORRECT								IntDataType		PostIncrementExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC17			CS401Fall20152	6.21	1449698291	
39	All Data	3aec2af3b9c0e8ce9314c60b422bc141	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:58:13	America/New_York	8	ATTEMPT				Arithmetic_Operations	jPostIncrement	1	2015-12-09 21:57:47	jPostIncrement	2	1	CORRECT								IntDataType		PostIncrementExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC17			CS401Fall20152	7.53	1449698301	
40	All Data	008f85839f22c834ab6626bb065e0b9f	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:58:25	America/New_York	12	ATTEMPT				Arithmetic_Operations	jPostDecrement	1	2015-12-09 21:58:13	jPostDecrement	1	1	CORRECT								IntDataType		PostDecrementExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC71			CS401Fall20152	7.85	1449698313	
41	All Data	322b39fc1b29b602359b28f4ab10829b	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:58:41	America/New_York	16	ATTEMPT				Arithmetic_Operations	jPreDecrement	1	2015-12-09 21:58:25	jPreDecrement	1	1	CORRECT								IntDataType		PreDecrementExpression		SimpleAssignmentExpression																																																																																																Single-KC		KC33			CS401Fall20152	4.83	1449698326	
42	All Data	44039ff49a9fc7302f73e9ab45e5870f	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:58:51	America/New_York	10	ATTEMPT				Primitive_Data_Types	jDouble1	1	2015-12-09 21:58:41	jDouble1	1	0	INCORRECT								AddExpression		DoubleDataType		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																								Single-KC		KC78			CS401Fall20152	16.0	1449698347	
43	All Data	0738a89ce0fa87b494224d3b0ad5f91f	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:59:07	America/New_York	16	ATTEMPT				Primitive_Data_Types	jDouble1	1	2015-12-09 21:58:41	jDouble1	2	1	CORRECT								AddExpression		DoubleDataType		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																								Single-KC		KC78			CS401Fall20152	7.53	1449698355	
44	All Data	ea8d458646f7c02c4aa4aab3a0f21c9a	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:59:26	America/New_York	19	ATTEMPT				Arithmetic_Operations	jMathFuc1	1	2015-12-09 21:59:07	jMathFuc1	1	1	CORRECT								AddExpression		DoubleDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement		java.lang.Math.sqrt																																																																																										Single-KC		KC64			CS401Fall20152	23.89	1449698390	
45	All Data	229e5f0cd8b898baddb839f6bc90d106	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 21:59:58	America/New_York	32	ATTEMPT				Arithmetic_Operations	jMathFuc2	1	2015-12-09 21:59:26	jMathFuc2	1	1	CORRECT								ExplicitTypeCasting		ExpressionStatement		IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement		java.lang.Math.pow																																																																																								Single-KC		KC65			CS401Fall20152	9.6	1449698408	
46	All Data	90004c3c94e6440c5ce4241226552b71	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 22:00:14	America/New_York	16	ATTEMPT				Primitive_Data_Types	jInt_Long	1	2015-12-09 21:59:58	jInt_Long	1	1	CORRECT								DoubleDataType		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement		java.lang.Math.round																																																																																								Single-KC		KC58			CS401Fall20152	8.08	1449698422	
47	All Data	53de16409ee290d3fc62f103d0d109f7	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 22:00:25	America/New_York	11	ATTEMPT				Arithmetic_Operations	jMathAbs	1	2015-12-09 22:00:14	jMathAbs	1	1	CORRECT								DoubleDataType		SimpleAssignmentExpression		SubtractExpression		java.lang.Math.abs																																																																																														Single-KC		KC42			CS401Fall20152	9.75	1449698435	
48	All Data	44e804d0a267dd8d9ac4ce6c3054aa68	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 22:00:44	America/New_York	19	ATTEMPT				Arithmetic_Operations	jMathCeil	1	2015-12-09 22:00:25	jMathCeil	1	1	CORRECT								DoubleDataType		SimpleAssignmentExpression		SubtractExpression		java.lang.Math.ceil																																																																																														Single-KC		KC96			CS401Fall20152	16.36	1449698460	
49	All Data	4f78be0e92b3038e4367565e57d68ad3	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 22:01:05	America/New_York	21	ATTEMPT				Constants	jConstants3	1	2015-12-09 22:00:44	jConstants3	1	0	INCORRECT								AddExpression		ConstantInvocation		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement		java.lang.Math																																																																																						Single-KC		KC43			CS401Fall20152	60.49	1449698525	
50	All Data	8a5608cdac1d2d39da63d1d4f979e2ec	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 22:02:07	America/New_York	62	ATTEMPT				Constants	jConstants3	1	2015-12-09 22:00:44	jConstants3	2	1	CORRECT								AddExpression		ConstantInvocation		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement		java.lang.Math																																																																																						Single-KC		KC43			CS401Fall20152	6.1	1449698533	
51	All Data	9979d345e186186b66b0780684722294	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 22:02:17	America/New_York	10	ATTEMPT				Arithmetic_Operations	jDivision	1	2015-12-09 22:02:07	jDivision	1	0	INCORRECT								AddExpression		DivideExpression		DoubleDataType		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		SimpleVariable		java.lang.Math.round																																																																																						Single-KC		KC2			CS401Fall20152	32.5	1449698569	
52	All Data	90acd7cb30996bcf89c6c871461e0ade	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 22:02:52	America/New_York	35	ATTEMPT				Arithmetic_Operations	jDivision	1	2015-12-09 22:02:07	jDivision	2	1	CORRECT								AddExpression		DivideExpression		DoubleDataType		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		SimpleVariable		java.lang.Math.round																																																																																						Single-KC		KC2			CS401Fall20152	13.08	1449698585	
53	All Data	76d9c1e0570c13da8c6f576d0d6e1874	Stu_0d76cd1c0e0a535ff281404f3582a406	0	2015-12-09 22:06:04	America/New_York	192	ATTEMPT				Strings	jString1	1	2015-12-09 22:02:52	jString1	1	0	INCORRECT								ActualMethodParameter		ObjectMethodInvocation		SimpleAssignmentExpression		StringDataType		StringInitializationStatement		StringLiteral		StringVariable		java.lang.String.substring		java.lang.System.out.print																																																																																				Single-KC		KC95			CS401Fall20152	38.56	1449698803	
