Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Topic)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Duration Seconds)	CF (Start Time)	Event Type
11	All Data	59a7b3c74ea41c0b44a44fb2e4857e28	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:58:10	America/New_York	9	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	2	0	INCORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	7.44	1427183897	
12	All Data	f369f4c4e1693be3296c9777f1e8e004	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:58:55	America/New_York	45	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	3	0	INCORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	187.05	1427184122	
13	All Data	9da3ef89aea57af5147a171ba196c6ea	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 08:07:49	America/New_York	534	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	4	0	INCORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	6.3	1427184475	
14	All Data	26d9731f7a3f89bb16e29763e4d2cc43	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 08:07:57	America/New_York	8	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	5	0	INCORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	4.44	1427184481	
15	All Data	a3cdbd35d5933d9b33db5f928d4cc07a	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 08:08:03	America/New_York	6	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	6	0	INCORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	3.19	1427184486	
16	All Data	a3c2598dc5c868c9f7e2fa8c4be4c927	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 08:08:07	America/New_York	4	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	7	0	INCORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	20.83	1427184508	
17	All Data	07b0aa0d0e7a49bc2d603c99df53517b	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 08:09:34	America/New_York	87	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	8	0	INCORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	20.25	1427184594	
18	All Data	e8190e08c87226b63ad745a30da0f061	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 08:10:45	America/New_York	71	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	9	1	CORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	25.94	1427184671	
19	All Data	b0581e2d3d86d81bff697707643d65a8	Stu_2135387aa83003b842cdfa4966a97b5a	10	2015-03-24 09:17:20	America/New_York	0	ATTEMPT				ArrayList	jArrayList1	1	2015-03-24 09:17:20	jArrayList1	1	0	INCORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		SubtractExpression		VariableInitializationStatement		VoidDataType																																																						Single-KC		KC74			IS17Spring2015	0.0	1427188640	
20	All Data	bd16a651361d2c0080f10133e530c426	Stu_2135387aa83003b842cdfa4966a97b5a	10	2015-03-24 09:29:30	America/New_York	0	ATTEMPT				ArrayList	jArrayList3	1	2015-03-24 09:29:30	jArrayList3	1	0	INCORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		ForStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		LessExpression		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PostIncrementExpression		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		StringAddition		StringDataType		StringLiteral		SubtractExpression		VariableInitializationStatement		VoidDataType		java.lang.System.out.print																																								Single-KC		KC48			IS17Spring2015	231.14	1427189601	
21	All Data	c9e1da29cab5f56b7f88a8b67a319a4f	Stu_2135387aa83003b842cdfa4966a97b5a	10	2015-03-24 09:34:54	America/New_York	324	ATTEMPT				ArrayList	jArrayList3	1	2015-03-24 09:29:30	jArrayList3	2	0	INCORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		ForStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		LessExpression		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PostIncrementExpression		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		StringAddition		StringDataType		StringLiteral		SubtractExpression		VariableInitializationStatement		VoidDataType		java.lang.System.out.print																																								Single-KC		KC48			IS17Spring2015	18.69	1427189713	
22	All Data	6b755ef4eb818a5d0e48bc9c72cf98ff	Stu_2135387aa83003b842cdfa4966a97b5a	10	2015-03-24 09:37:10	America/New_York	136	ATTEMPT				ArrayList	jArrayList4	1	2015-03-24 09:34:54	jArrayList4	1	1	CORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		ForEachStatement		FormalMethodParameter		GenericObjectCreationStatement		GreaterEqualExpression		IfStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		MethodDefinition		MultiplyExpression		ObjectMethodInvocation		ObjectVariable		PostIncrementExpression		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		SubtractExpression		VariableInitializationStatement		VoidDataType																																												Single-KC		KC19			IS17Spring2015	173.94	1427190004	
23	All Data	77b7f8f1f36131988ae03d92ea4cd311	Stu_2135387aa83003b842cdfa4966a97b5a	10	2015-03-24 10:06:04	America/New_York	0	ATTEMPT				ArrayList	jArrayList2	1	2015-03-24 10:06:04	jArrayList2	1	0	INCORRECT								ActualMethodParameter		ConstructorCall		EqualExpression		ExpressionStatement		GenericObjectCreationStatement		IfElseIfStatement		ImportStatement		IntDataType		ModulusExpression		ObjectMethodInvocation		ObjectVariable		SimpleAssignmentExpression		SimpleVariable		StringDataType		StringLiteral		VariableInitializationStatement																																																																						Single-KC		KC82			IS17Spring2015	58.66	1427191623	
24	All Data	ae8f546c2de98f1be2be25a61d4b245a	Stu_2135387aa83003b842cdfa4966a97b5a	10	2015-03-24 10:07:22	America/New_York	78	ATTEMPT				ArrayList	jArrayList2	1	2015-03-24 10:06:04	jArrayList2	2	1	CORRECT								ActualMethodParameter		ConstructorCall		EqualExpression		ExpressionStatement		GenericObjectCreationStatement		IfElseIfStatement		ImportStatement		IntDataType		ModulusExpression		ObjectMethodInvocation		ObjectVariable		SimpleAssignmentExpression		SimpleVariable		StringDataType		StringLiteral		VariableInitializationStatement																																																																						Single-KC		KC82			IS17Spring2015	18.11	1427191660	
25	All Data	2e630b1060d91e969c3894a402ba9034	Stu_2135387aa83003b842cdfa4966a97b5a	11	2015-03-26 02:44:47	America/New_York	0	ATTEMPT				ArrayList	jArrayList1	2	2015-03-26 02:44:47	jArrayList1	1	0	INCORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		SubtractExpression		VariableInitializationStatement		VoidDataType																																																						Single-KC		KC74			IS17Spring2015	27.17	1427337914	
26	All Data	9a0134ec9838a2328fe519942d0558e7	Stu_2135387aa83003b842cdfa4966a97b5a	11	2015-03-26 02:45:16	America/New_York	29	ATTEMPT				ArrayList	jArrayList1	2	2015-03-26 02:44:47	jArrayList1	2	1	CORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		SubtractExpression		VariableInitializationStatement		VoidDataType																																																						Single-KC		KC74			IS17Spring2015	5.62	1427337922	
27	All Data	2f635f2d55ce364c1bbfb426fcc18013	Stu_2135387aa83003b842cdfa4966a97b5a	11	2015-03-26 02:45:25	America/New_York	9	ATTEMPT				ArrayList	jArrayList3	2	2015-03-26 02:45:16	jArrayList3	1	0	INCORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		ForStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		LessExpression		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PostIncrementExpression		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		StringAddition		StringDataType		StringLiteral		SubtractExpression		VariableInitializationStatement		VoidDataType		java.lang.System.out.print																																								Single-KC		KC48			IS17Spring2015	53.23	1427337978	
28	All Data	41d40f0aa78ab37606d80917e4b4a3a9	Stu_2135387aa83003b842cdfa4966a97b5a	11	2015-03-26 02:46:34	America/New_York	69	ATTEMPT				ArrayList	jArrayList3	2	2015-03-26 02:45:16	jArrayList3	2	0	INCORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		ForStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		LessExpression		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PostIncrementExpression		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		StringAddition		StringDataType		StringLiteral		SubtractExpression		VariableInitializationStatement		VoidDataType		java.lang.System.out.print																																								Single-KC		KC48			IS17Spring2015	10.89	1427338005	
29	All Data	1b4aca0bb74ad75199ba2ddf7259c966	Stu_2135387aa83003b842cdfa4966a97b5a	11	2015-03-26 02:46:48	America/New_York	14	ATTEMPT				ArrayList	jArrayList3	2	2015-03-26 02:45:16	jArrayList3	3	1	CORRECT								ActualMethodParameter		AddExpression		ClassDefinition		ConstructorCall		ConstructorDefinition		DoubleDataType		ExpressionStatement		ForStatement		FormalMethodParameter		GenericObjectCreationStatement		ImportStatement		InstanceField		InstanceFieldDefinitionStatement		IntDataType		LessExpression		MethodDefinition		ObjectMethodInvocation		ObjectVariable		PostIncrementExpression		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		StringAddition		StringDataType		StringLiteral		SubtractExpression		VariableInitializationStatement		VoidDataType		java.lang.System.out.print																																								Single-KC		KC48			IS17Spring2015	9.53	1427338018	
30	All Data	5abbf7c58bc50fa45cdc1e1c022b5929	Stu_2135387aa83003b842cdfa4966a97b5a	13	2015-03-31 07:16:43	America/New_York	0	ATTEMPT				Inheritance	jInheritance1	1	2015-03-31 07:16:43	jInheritance1	1	0	INCORRECT								AndExpression		BooleanDataType		ClassConstantInitializationStatement		ClassDefinition		ClassField		ConstructorCall		ConstructorDefinition		DivideExpression		DoubleDataType		EqualExpression		ExpressionStatement		ExtendsSpecification		FinalModifier		FormalMethodParameter		IfElseStatement		InheritanceBasedPolymorphism		InstanceField		InstanceFieldDefinitionStatement		InstanceFieldInvocation		IntDataType		LessExpression		MethodDefinition		MethodInheritance		MethodOverriding		MultiplyExpression		ObjectMethodInvocation		ObjectVariable		OverridingEquals		OverridingToString		PolymorphicObjectCreationStatement		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		StaticModifier		StringAddition		StringDataType		StringLiteral		SuperReference		SuperclassConstructorCall		SuperclassMethodCall		SuperclassSubclassConversion		ThisReference		VariableInitializationStatement		java.lang.Object										Single-KC		KC25			IS17Spring2015	101.58	1427786305	
31	All Data	ae40276beb2ec055cd7cffe424f99138	Stu_2135387aa83003b842cdfa4966a97b5a	15	2015-04-14 13:02:54	America/New_York	.	ATTEMPT				Inheritance	jInheritance1	1	2015-03-31 07:16:43	jInheritance1	2	0	INCORRECT								AndExpression		BooleanDataType		ClassConstantInitializationStatement		ClassDefinition		ClassField		ConstructorCall		ConstructorDefinition		DivideExpression		DoubleDataType		EqualExpression		ExpressionStatement		ExtendsSpecification		FinalModifier		FormalMethodParameter		IfElseStatement		InheritanceBasedPolymorphism		InstanceField		InstanceFieldDefinitionStatement		InstanceFieldInvocation		IntDataType		LessExpression		MethodDefinition		MethodInheritance		MethodOverriding		MultiplyExpression		ObjectMethodInvocation		ObjectVariable		OverridingEquals		OverridingToString		PolymorphicObjectCreationStatement		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		StaticModifier		StringAddition		StringDataType		StringLiteral		SuperReference		SuperclassConstructorCall		SuperclassMethodCall		SuperclassSubclassConversion		ThisReference		VariableInitializationStatement		java.lang.Object										Single-KC		KC25			IS17Spring2015	151.81	1429016726	
32	All Data	62e80d85f914117568d7d2d84d6f1eeb	Stu_2135387aa83003b842cdfa4966a97b5a	15	2015-04-14 13:05:38	America/New_York	164	ATTEMPT				Inheritance	jInheritance1	1	2015-03-31 07:16:43	jInheritance1	3	0	INCORRECT								AndExpression		BooleanDataType		ClassConstantInitializationStatement		ClassDefinition		ClassField		ConstructorCall		ConstructorDefinition		DivideExpression		DoubleDataType		EqualExpression		ExpressionStatement		ExtendsSpecification		FinalModifier		FormalMethodParameter		IfElseStatement		InheritanceBasedPolymorphism		InstanceField		InstanceFieldDefinitionStatement		InstanceFieldInvocation		IntDataType		LessExpression		MethodDefinition		MethodInheritance		MethodOverriding		MultiplyExpression		ObjectMethodInvocation		ObjectVariable		OverridingEquals		OverridingToString		PolymorphicObjectCreationStatement		PrivateAccessSpecifier		PublicAccessSpecifier		ReturnStatement		SimpleAssignmentExpression		SimpleVariable		StaticModifier		StringAddition		StringDataType		StringLiteral		SuperReference		SuperclassConstructorCall		SuperclassMethodCall		SuperclassSubclassConversion		ThisReference		VariableInitializationStatement		java.lang.Object										Single-KC		KC25			IS17Spring2015	19.68	1429016758	
